site,SUBREGIONE
"71429",Sierra Mixe
"71647",Sierra Mixe
"71648",Sierra Mixe
"71649",Sierra Mixe
"71856",Sierra Mixe
"71858",Sierra Mixe
"71859",Sierra Mixe
"71861",Sierra Mixe
"72073",Sierra Mixe
"72074",Sierra Mixe
"72496",Sierra Mixe
"72497",Sierra Mixe
"72498",Sierra Mixe
"72501",Sierra Mixe
"72708",Sierra Mixe
"72712",Sierra Mixe
"72922",Sierra Mixe
"72926",Sierra Mixe
"72927",Sierra Mixe
"72929",Sierra Mixe
"73136",Sierra Mixe
"73137",Sierra Mixe
"73348",Sierra Mixe
"73353",Sierra Mixe
"73556",Sierra Mixe
"73768",Sierra Mixe
"71431",Sierra Mixe
"71643",Sierra Mixe
"71645",Sierra Mixe
"71853",Sierra Mixe
"72066",Sierra Mixe
"72072",Sierra Mixe
"72077",Sierra Mixe
"72279",Sierra Mixe
"72284",Sierra Mixe
"72285",Sierra Mixe
"72286",Sierra Mixe
"72711",Sierra Mixe
"72714",Sierra Mixe
"72923",Sierra Mixe
"72924",Sierra Mixe
"73138",Sierra Mixe
"73766",Sierra Mixe
"73770",Sierra Mixe
"73976",Sierra Mixe
